Experiment
----------
Name:	15-12-11 Magra OVA eosinofilica Bude 3
File name:	C:\Users\Wothan\Documents\My flexiVent data\15-12-11 Magra OVA eosinofilica Bude 3.exp
Operator:	Cida
Comment:	Default template provided for mouse experiments.
 
Subjects
--------
 Subject  Name 	Weight	Gender	Strain	Group	Comment
 Magra  OVA  eosinofilica  Bude  3 	 24  g 	female	Balbi		
 
Perturbation:	TLC
 
 
Data
----
 
 Event  ID  -> 	5	5	6	6	12	12	12	12	12	16	16	16	16	16	17	17	17	17	17
    	 12/11/2015  10:57:22  AM 	 12/11/2015  10:57:22  AM 	 12/11/2015  10:57:38  AM 	 12/11/2015  10:57:38  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:13  AM 	 12/11/2015  11:22:13  AM 	 12/11/2015  11:22:13  AM 	 12/11/2015  11:22:13  AM 	 12/11/2015  11:22:13  AM 
    	 Closed  tube  cal. 	 Closed  tube  cal. 	 Open  tube  cal. 	 Open  tube  cal. 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 
Time	Vol	Pcyl	Vol	Pcyl	Vol	Pcyl	Pao	Vtr	Ptr	Vol	Pcyl	Pao	Vtr	Ptr	Vol	Pcyl	Pao	Vtr	Ptr
s	mL	cmH2O	mL	cmH2O	mL	cmH2O	cmH2O	mL	cmH2O	mL	cmH2O	cmH2O	mL	cmH2O	mL	cmH2O	cmH2O	mL	cmH2O
    																			
0.21875	0.02188	4.6386	0.01064	0.27683	0.0463	4.2833	4.2827	0.028483	4.2394	0.04403	4.0992	4.1009	0.031567	4.0518	0.0429	3.928	3.9309	0.033473	3.8638
0.22266	0.02214	4.7007	0.01113	0.27969	0.04687	4.2766	4.2777	0.029088	4.2316	0.04478	4.1212	4.1283	0.032178	4.0776	0.04398	3.9645	3.9633	0.034309	3.9009
0.22656	0.02236	4.7616	0.01165	0.28039	0.04743	4.2727	4.2745	0.02967	4.2275	0.04549	4.1458	4.1539	0.032718	4.1065	0.04511	4.0075	4.0035	0.035153	3.9414
0.23047	0.0226	4.8187	0.01223	0.27956	0.04809	4.2789	4.2791	0.030281	4.2314	0.04619	4.1767	4.1815	0.033215	4.1382	0.0463	4.0512	4.0447	0.036054	3.9819
0.23438	0.02289	4.8748	0.01286	0.2772	0.04884	4.2948	4.2915	0.030923	4.2467	0.04698	4.2172	4.2198	0.033735	4.1725	0.04749	4.091	4.0824	0.036984	4.0217
0.23828	0.02319	4.9326	0.01347	0.26984	0.04963	4.3197	4.3136	0.031551	4.2712	0.04793	4.2615	4.2654	0.034393	4.2049	0.04863	4.1274	4.1209	0.037883	4.0601
0.24219	0.02347	4.9917	0.01395	0.25948	0.05052	4.3561	4.3503	0.032202	4.305	0.04902	4.3006	4.3042	0.035229	4.233	0.04974	4.1625	4.1636	0.038761	4.0936
0.24609	0.02379	5.0518	0.01431	0.25348	0.05153	4.4027	4.3994	0.032902	4.3497	0.05018	4.3323	4.3314	0.036177	4.2598	0.0509	4.1954	4.2051	0.039701	4.1201
0.25	0.02419	5.1099	0.01466	0.25409	0.05255	4.4522	4.4517	0.033601	4.4004	0.05131	4.3578	4.3552	0.037144	4.2833	0.05216	4.2276	4.2394	0.040749	4.1467
0.25391	0.02457	5.1646	0.01502	0.25518	0.05354	4.501	4.5031	0.034268	4.4517	0.05245	4.3784	4.3792	0.038141	4.2971	0.05347	4.2614	4.2707	0.041837	4.1812
0.25781	0.02484	5.217	0.01539	0.25144	0.05452	4.5528	4.5594	0.034902	4.5074	0.05374	4.3993	4.4014	0.03929	4.3089	0.05473	4.2968	4.3064	0.042864	4.2231
0.26172	0.02511	5.2685	0.01571	0.24425	0.05547	4.6123	4.6247	0.035465	4.5724	0.05516	4.4262	4.4257	0.040528	4.3351	0.05588	4.3323	4.343	0.043782	4.2652
0.26563	0.02543	5.3198	0.0159	0.23818	0.0564	4.6788	4.6937	0.035954	4.6431	0.05655	4.4605	4.4594	0.041695	4.3756	0.05695	4.3652	4.3722	0.044635	4.2996
0.26953	0.02573	5.3705	0.01598	0.23539	0.05731	4.7488	4.7593	0.036408	4.714	0.05788	4.5001	4.5027	0.042768	4.4189	0.05803	4.3945	4.397	0.045512	4.3255
0.27344	0.02598	5.4168	0.01605	0.23677	0.05823	4.8191	4.8205	0.036872	4.7839	0.05921	4.5394	4.5477	0.043837	4.4582	0.05916	4.4224	4.4256	0.046456	4.3511
0.27734	0.02623	5.4559	0.01615	0.24194	0.05914	4.8858	4.8812	0.037338	4.8505	0.06055	4.5784	4.589	0.044912	4.4994	0.06029	4.4513	4.4582	0.047394	4.3837
0.28125	0.02652	5.4887	0.01629	0.24687	0.05998	4.9424	4.9397	0.037804	4.905	0.06185	4.6234	4.6314	0.045922	4.5507	0.06133	4.4813	4.4887	0.048239	4.4196
0.28516	0.02677	5.5171	0.01654	0.24799	0.0608	4.9882	4.9888	0.038325	4.9452	0.0631	4.6748	4.6825	0.046831	4.6072	0.06234	4.5159	4.5178	0.049022	4.4542
0.28906	0.02689	5.5419	0.01694	0.24976	0.06167	5.0274	5.0285	0.038939	4.9795	0.06432	4.7272	4.7372	0.047706	4.6587	0.06345	4.5564	4.5544	0.049867	4.4879
0.29297	0.02695	5.5612	0.01747	0.25477	0.06256	5.0636	5.0654	0.03959	5.0172	0.06558	4.776	4.7848	0.04864	4.7023	0.0647	4.5996	4.6005	0.050831	4.5234
0.29688	0.02705	5.5738	0.01801	0.26182	0.06336	5.0972	5.0999	0.040164	5.0574	0.06688	4.8204	4.8232	0.049653	4.7433	0.06601	4.639	4.6435	0.051878	4.5581
0.30078	0.02719	5.5833	0.01848	0.26737	0.06402	5.125	5.1283	0.04064	5.09	0.06816	4.8589	4.8581	0.050674	4.7836	0.0673	4.6696	4.6763	0.052967	4.5858
0.30469	0.02724	5.5927	0.01889	0.26898	0.06462	5.1471	5.1518	0.041088	5.1127	0.06932	4.8878	4.8882	0.051641	4.8148	0.06859	4.694	4.7034	0.054091	4.6102
